Country_Name,Deaths,Confirmed
Afghanistan,7243,155764
Albania,2820,177971
Algeria,5872,205286
Andorra,130,15338
Angola,1664,62842
Antigua and Barbuda,95,3888
Argentina,115666,5272551
Armenia,5778,281991
Australia,11,1588
Australia,529,71658
Australia,0,225
Australia,7,2071
Australia,4,915
Australia,13,237
Australia,970,67457
Australia,9,1112
Austria,11167,775782
Azerbaijan,6765,502207
Bahamas,590,21580
Bahrain,1391,276118
Bangladesh,27768,1565488
Barbados,119,12968
Belarus,4402,571987
Belgium,0,168222
Belgium,0,173552
Belgium,0,143363
Belgium,0,103133
Belgium,0,176918
Belgium,0,155428
Belgium,0,70998
Belgium,0,35668
Belgium,0,65719
Belgium,25747,25210
Belgium,0,50031
Belgium,0,111627
Belize,461,23990
Benin,161,24560
Bhutan,3,2617
Bolivia,18834,506654
Bosnia and Herzegovina,11110,243914
Botswana,2386,181856
Brazil,1842,88007
Brazil,6259,239312
Brazil,1988,123270
Brazil,13756,427164
Brazil,26968,1239893
Brazil,24378,942178
Brazil,10703,510684
Brazil,12753,598571
Brazil,23944,885725
Brazil,10212,358645
Brazil,13630,539461
Brazil,9623,375110
Brazil,55209,2167487
Brazil,16709,595161
Brazil,9371,443885
Brazil,39810,1535331
Brazil,19890,626258
Brazil,7067,322860
Brazil,7364,370895
Brazil,35183,1453179
Brazil,67584,1306819
Brazil,6551,267513
Brazil,2018,126305
Brazil,19492,1205855
Brazil,151126,4389848
Brazil,6021,278321
Brazil,3831,226727
Brunei,73,10860
Bulgaria,22274,540619
Burkina Faso,203,14734
Burma,18359,487853
Burundi,38,19555
Cabo Verde,347,38040
Cambodia,2658,116665
Cameroon,1550,98402
Canada,2946,314252
Canada,2055,196433
Canada,1,0
Canada,0,13
Canada,1230,61987
Canada,90,5793
Canada,13,1881
Canada,9,1638
Canada,98,7077
Canada,4,674
Canada,9864,602864
Canada,0,309
Canada,11444,419718
Canada,0,13
Canada,781,74394
Canada,10,837
Central African Republic,100,11469
Chad,174,5067
Chile,1252,62121
Chile,1515,98644
Chile,536,27650
Chile,357,27593
Chile,79,8409
Chile,2694,152263
Chile,1031,49249
Chile,1409,89371
Chile,696,49575
Chile,499,29259
Chile,1786,102722
Chile,19262,701531
Chile,646,36332
Chile,1558,69312
Chile,810,41998
Chile,0,48
Chile,3479,124673
China,6,1008
China,9,1128
China,6,603
China,1,1294
China,2,199
China,8,3201
China,2,320
China,2,147
China,6,190
China,7,1318
China,13,1712
China,22,1550
China,213,12294
China,4512,68303
China,4,1191
China,1,423
China,0,1600
China,1,937
China,3,577
China,2,463
China,0,77
China,0,77
China,0,18
China,3,687
China,7,962
China,7,2677
China,0,260
China,3,1220
China,3,500
